User,Location,Tweeter,Mentions
User,Location,Tweeter,Mentions
User,Location,Tweeter,Mentions
User,Location,Tweeter,Mentions
LeoDeJudah1,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
bianca_blenda,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
SilvaEdvalter,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
AlfSSMartins,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
JOSCarl87229479,,"b'RT @BrazilFight: URGENTE - BIDEN PODE NO TER VENCIDO NO ARIZONA\nBiden agora lidera por apenas 14.746 votos, ante 16.952 votos na tarde de'",BrazilFight
VarejaoAndrea,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
JosHenriqueRoc7,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
Hosanah_EFJ,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
Andrea34179648,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
Moacyrodrigues,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
eder_war,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
Rosana_Reis0907,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
Guilher63810878,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
doutoralimon,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
luizalb81725374,,"b'RT @EmmanuelyMoraes: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456'",EmmanuelyMoraes
MbWander,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
GhsTYiewmzxSrjQ,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
AmigurumiNizze,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
dialogolivre,,"b'OFICIAL DO GOVERNO DIZ QUE CRESCE O OTIMISMO QUE TRUMP VENCE NO ARIZONA\nCom a contagem das cdulas quase concluda no Arizona, as autoridades e eleitores dos EUA esto se sentindo otimistas de que o estado acabar ficando vermelho nesta eleio.\n\nhttps://t.co/aDlLkCceM1 https://t.co/34JeiwkuhI'",
AdautoViccari,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
