Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum,clustering,eigencentrality,pageranks
fabriciotst02,fabriciotst02,,0,1,1,0,2,2,1,1,1,0,46,0,2287,0,0,0.00009
Paulodayvid2,Paulodayvid2,,0,2,2,0,2,2,1,1,1,0,79,0,2289,0,0,0.00009
pigao_su,pigao_su,,1,0,1,1,0,1,0,0,0,0,79,0,2288,0,0.00027,0.000129
AlekzAlves,AlekzAlves,,0,1,1,0,1,1,1,1,1,0,46,0,2290,0,0,0.00009
AssisT_styx,AssisT_styx,,0,1,1,0,1,1,1,1,1,0,46,0,2291,0,0,0.00009
Adelmoreira,Adelmoreira,,0,1,1,0,2,2,1,1,1,0,46,0,2292,0,0,0.00009
ThiagoLessaDaS1,ThiagoLessaDaS1,,0,1,1,0,2,2,1,1,1,0,46,0,2293,0,0,0.00009
Willian10371572,Willian10371572,,0,1,1,0,2,2,1,1,1,0,46,0,2294,0,0,0.00009
ROMULOADEFRANA,ROMULOADEFRANA,,0,1,1,0,1,1,1,1,1,0,46,0,2295,0,0,0.00009
Gleydson_Macedo,Gleydson_Macedo,,0,1,1,0,1,1,1,1,1,0,46,0,2296,0,0,0.00009
SandroRicco,SandroRicco,,0,1,1,0,1,1,1,1,1,0,46,0,2297,0,0,0.00009
Rogerio99645966,Rogerio99645966,,0,1,1,0,1,1,1,1,1,0,46,0,2298,0,0,0.00009
Dulobs1,Dulobs1,,0,1,1,0,2,2,1,1,1,0,46,0,2299,0,0,0.00009
HagdaMasson67,HagdaMasson67,,0,1,1,0,2,2,1,1,1,0,46,0,2300,0,0,0.00009
Henriqu59053011,Henriqu59053011,,0,1,1,0,1,1,1,1,1,0,46,0,2301,0,0,0.00009
alexandresoftwa,alexandresoftwa,,0,1,1,0,1,1,1,1,1,0,46,0,2302,0,0,0.00009
wmelol,wmelol,,0,1,1,0,1,1,1,1,1,0,46,0,2303,0,0,0.00009
GallazzoPaulo,GallazzoPaulo,,0,1,1,0,2,2,1,1,1,0,46,0,2304,0,0,0.00009
Lucas_Isaias_,Lucas_Isaias_,,0,1,1,0,2,2,1,1,1,0,46,0,2305,0,0,0.00009
MiguelTefiloFe2,MiguelTefiloFe2,,0,1,1,0,1,1,1,1,1,0,46,0,2306,0,0,0.00009
ElizeuLucas5,ElizeuLucas5,,0,1,1,0,1,1,1,1,1,0,46,0,2307,0,0,0.00009
AlanaMattos16,AlanaMattos16,,0,1,1,0,2,2,1,1,1,0,46,0,2308,0,0,0.00009
joilsongv7,joilsongv7,,0,1,1,0,1,1,1,1,1,0,46,0,2309,0,0,0.00009
Margarido101928,Margarido101928,,0,1,1,0,1,1,1,1,1,0,46,0,2310,0,0,0.00009
a1av,a1av,,0,1,1,0,1,1,1,1,1,0,46,0,2311,0,0,0.00009
majorolimpio,majorolimpio,,1,0,1,1,0,1,0,0,0,0,64,53,2130,0,0.00027,0.000129
David73692593,David73692593,,0,1,1,0,2,2,1,1,1,0,46,0,2312,0,0,0.00009
MaurcioDrummon1,MaurcioDrummon1,,0,1,1,0,1,1,1,1,1,0,46,0,2313,0,0,0.00009
jcfabricio25,jcfabricio25,,0,1,1,0,1,1,1,1,1,0,46,0,2314,0,0,0.00009
InterAtivoSCI,InterAtivoSCI,,0,1,1,0,1,1,1,1,1,0,46,0,2315,0,0,0.00009
Mritam4,Mritam4,,0,1,1,0,2,2,1,1,1,0,46,0,2316,0,0,0.00009
danimbf,danimbf,,0,1,1,0,1,1,1,1,1,0,46,0,2317,0,0,0.00009
PalaSk8,PalaSk8,,0,1,1,0,1,1,1,1,1,0,46,0,2318,0,0,0.00009
DireitaSempreL1,DireitaSempreL1,,0,1,1,0,1,1,1,1,1,0,46,0,2319,0,0,0.00009
angraflu,angraflu,,0,1,1,0,1,1,1,1,1,0,46,0,2320,0,0,0.00009
GCM553,GCM553,,0,1,1,0,1,1,1,1,1,0,46,0,2321,0,0,0.00009
sandra_annes,sandra_annes,,0,1,1,0,1,1,1,1,1,0,46,0,2322,0,0,0.00009
AnileneEfggen,AnileneEfggen,,0,1,1,0,1,1,1,1,1,0,46,0,2323,0,0,0.00009
