User,Location,Tweeter,Mentions
AraujoCrisitian,,b'@folha O que est acontecendo com a Foice de SP que resolve atacar o Laranjal do Boulos?',folha
svil2019,,"b'RT @Madruga004: Segundo turno, farei assim, entre dois vermes.\n\nGerente deCemitrio, Covas.\nGerente do Laranjal, Boulos.\n\nPrefiro essa op'",Madruga004
Van_Artioli,,"b""RT @oswaldojor: A PGR e o STF ignoraram os atos Antidemocrticos de Felipe Neto e Manuela D'villa ao incitar vandalismo no Carrefour. Tamb""",oswaldojor
Bruna86948013,,b'@sikerajr Queremos o laranjal do BOULOs preso',sikerajr
AnaMariaSuhett,,"b""RT @oswaldojor: A PGR e o STF ignoraram os atos Antidemocrticos de Felipe Neto e Manuela D'villa ao incitar vandalismo no Carrefour. Tamb""",oswaldojor
Terlusia,,"b""RT @oswaldojor: A PGR e o STF ignoraram os atos Antidemocrticos de Felipe Neto e Manuela D'villa ao incitar vandalismo no Carrefour. Tamb""",oswaldojor
silviavcm,,"b""RT @oswaldojor: A PGR e o STF ignoraram os atos Antidemocrticos de Felipe Neto e Manuela D'villa ao incitar vandalismo no Carrefour. Tamb""",oswaldojor
cristiane171963,,"b""RT @oswaldojor: A PGR e o STF ignoraram os atos Antidemocrticos de Felipe Neto e Manuela D'villa ao incitar vandalismo no Carrefour. Tamb""",oswaldojor
IvanildoS5,,b'Ento e que fim deu o caso do Laranjal do Invasor BOULOS? https://t.co/H5EUno1ePd',
MaraAlv41337064,,"b'RT @iane_menezes: Ento o Jornalista Oswaldo Eustquio foi preso pq  falou sobre o LARANJAL DO BOULOS, ele est proibido de falar,eu e vc n'",iane_menezes
Ommen35182393,,"b""RT @oswaldojor: A PGR e o STF ignoraram os atos Antidemocrticos de Felipe Neto e Manuela D'villa ao incitar vandalismo no Carrefour. Tamb""",oswaldojor
leobatista26,,"b""RT @oswaldojor: A PGR e o STF ignoraram os atos Antidemocrticos de Felipe Neto e Manuela D'villa ao incitar vandalismo no Carrefour. Tamb""",oswaldojor
JavierE78234335,,b'@MPF_PGR ah! Aqui sim.  s o MPF parar de lacrar no twitter que aparece o que fazer. Meus parabens pela ao! E o laranjal do Boulos no vai ter investigao?',MPF_PGR
MaristellaOliv1,,b'RT @roxmo: Jornalista investigativo desbarata laranjal e desmascara Guilherme Boulos (veja o vdeo) https://t.co/1RCtdSeFD4',roxmo
